iter	Logloss
0	0.657651205
1	0.6262508015
2	0.6058471078
3	0.578043431
4	0.5646777148
5	0.5516157717
6	0.5344369937
7	0.5243550774
8	0.5091732686
9	0.4987210527
10	0.4867298598
11	0.479896756
12	0.4731214977
13	0.4669662351
14	0.457759861
15	0.4512559433
16	0.4468669563
17	0.4430998621
18	0.4367683117
19	0.4326733989
20	0.4291877287
21	0.4251638183
22	0.4211011832
23	0.4178840459
24	0.4149842478
25	0.4126781945
26	0.4105634885
27	0.4071478163
28	0.4025765516
29	0.4008611227
30	0.3980483024
31	0.3964182307
32	0.3924806123
33	0.3898323608
34	0.3883962419
35	0.3867920149
36	0.3842933233
37	0.3822132229
38	0.3808864217
39	0.3796599278
40	0.3783608257
41	0.3765731818
42	0.374789871
43	0.3718532045
44	0.3708753625
45	0.368955305
46	0.3676228165
47	0.3670590956
48	0.364834447
49	0.3643755868
50	0.3634192029
51	0.360863801
52	0.3603052679
53	0.3581502577
54	0.3566067635
55	0.3554066421
56	0.3549005559
57	0.3524217471
58	0.3507049409
59	0.350184842
60	0.3483878466
61	0.3478750635
62	0.3473273491
63	0.3463605723
64	0.3459886522
65	0.3452470114
66	0.3447898039
67	0.3436062252
68	0.3429836364
69	0.3424416118
70	0.342141948
71	0.3415225808
72	0.3412383769
73	0.3404446097
74	0.3400280211
75	0.3395671525
76	0.3387241135
77	0.3383947507
78	0.3381052177
79	0.337872695
80	0.3370179102
81	0.3364100889
82	0.3361242153
83	0.3358096762
84	0.3353867256
85	0.3349583636
86	0.3343180856
87	0.3333859795
88	0.3331612278
89	0.3328051483
90	0.3322415607
91	0.3320052029
92	0.3301679319
93	0.3295511566
94	0.3292487637
95	0.3289008577
96	0.3285151358
97	0.328256269
98	0.3272103095
99	0.3270127059
100	0.3265863855
101	0.3260318652
102	0.3257072999
103	0.3254245248
104	0.3249432328
105	0.3243976426
106	0.3230278741
107	0.3227434889
108	0.3225442315
109	0.3223042796
110	0.3218803475
111	0.3212639518
112	0.3208963036
113	0.320604819
114	0.3204089537
115	0.3201268908
116	0.3199591976
117	0.3194499336
118	0.3182603829
119	0.3180066028
120	0.3174245479
121	0.3172253124
122	0.3170404371
123	0.3163243272
124	0.3161762447
125	0.3156604389
126	0.3153433864
127	0.314998689
128	0.3146066859
129	0.3138949644
130	0.3134710553
131	0.3132642821
132	0.3130912892
133	0.3128455057
134	0.3119369507
135	0.3118022916
136	0.3115876455
137	0.3113559993
138	0.3111275249
139	0.3109604322
140	0.3107429249
141	0.31062751
142	0.3105490136
143	0.3103036294
144	0.3101257181
145	0.3100061893
146	0.3098928595
147	0.3095846371
148	0.3093888904
149	0.3089207326
150	0.3086837525
151	0.30835266
152	0.3081416421
153	0.308055189
154	0.3078613194
155	0.3074173088
156	0.3072488267
157	0.3070125206
158	0.3069409411
159	0.3067117631
160	0.3064034777
161	0.3062650586
162	0.3056488143
163	0.3055141412
164	0.3052913691
165	0.3051915848
166	0.3049911933
167	0.3048756976
168	0.3047163323
169	0.3039682168
170	0.3038170027
171	0.3036522817
172	0.3035089961
173	0.3033083645
174	0.3031005461
175	0.3029017687
176	0.3027351906
177	0.3026939318
178	0.3024985455
179	0.3023313941
180	0.3019708493
181	0.301858088
182	0.30166907
183	0.3015182762
184	0.3015030324
185	0.3013320145
186	0.3011966312
187	0.3010790981
188	0.3009145302
189	0.300818224
190	0.3006767428
191	0.2997501739
192	0.2995668798
193	0.2992936983
194	0.2991094415
195	0.2989706995
196	0.298801182
197	0.2987110974
198	0.2986140675
199	0.2985098327
200	0.2984042528
201	0.2979033381
202	0.2977693555
203	0.2975971987
204	0.2973784532
205	0.2971764802
206	0.2969499695
207	0.2968000783
208	0.2965654515
209	0.2964578198
