iter	Passed	Remaining
0	61	61274
1	63	31927
2	67	22432
3	70	17541
4	73	14609
5	77	12825
6	80	11419
7	83	10395
8	86	9559
9	89	8904
10	92	8343
11	95	7841
12	97	7401
13	100	7077
14	103	6795
15	109	6719
16	121	6997
17	126	6922
18	131	6795
19	135	6626
20	138	6434
21	144	6434
22	150	6405
23	154	6289
24	158	6180
25	161	6056
26	164	5925
27	167	5805
28	169	5677
29	172	5562
30	175	5485
31	178	5400
32	181	5310
33	184	5241
34	186	5148
35	190	5091
36	193	5032
37	195	4960
38	199	4909
39	202	4861
40	204	4791
41	207	4734
42	210	4686
43	213	4633
44	215	4579
45	219	4543
46	221	4496
47	224	4457
48	227	4423
49	230	4386
50	233	4348
51	236	4318
52	239	4280
53	242	4252
54	245	4216
55	247	4173
56	250	4146
57	253	4116
58	255	4080
59	258	4046
60	260	4016
61	263	3992
62	266	3969
63	269	3948
64	272	3915
65	274	3889
66	277	3861
67	279	3831
68	281	3804
69	285	3790
70	288	3768
71	290	3745
72	293	3721
73	295	3701
74	298	3680
75	301	3668
76	304	3649
77	307	3631
78	310	3614
79	312	3590
80	314	3571
81	318	3564
82	322	3557
83	325	3554
84	329	3542
85	332	3530
86	335	3525
87	339	3517
88	342	3506
89	345	3492
90	348	3481
91	351	3468
92	354	3455
93	357	3441
94	359	3426
95	361	3407
96	365	3398
97	368	3388
98	371	3376
99	373	3361
100	376	3350
101	378	3334
102	382	3330
103	385	3319
104	388	3310
105	390	3296
106	393	3281
107	395	3268
108	399	3263
109	402	3255
110	405	3245
111	407	3234
112	410	3219
113	413	3210
114	416	3204
115	418	3192
116	421	3179
117	424	3169
118	426	3157
119	429	3151
120	432	3142
121	435	3132
122	438	3124
123	441	3119
124	443	3106
125	447	3103
126	450	3095
127	453	3086
128	455	3078
129	484	3239
130	491	3260
131	494	3249
132	497	3245
133	501	3240
134	505	3237
135	508	3227
136	511	3222
137	514	3215
138	518	3211
139	521	3202
140	523	3190
141	525	3178
142	529	3172
143	532	3164
144	535	3156
145	537	3146
146	540	3134
147	542	3122
148	545	3115
149	548	3108
150	551	3100
151	553	3090
152	556	3082
153	558	3067
154	562	3063
155	565	3058
156	568	3054
157	572	3051
158	577	3053
159	580	3048
160	583	3042
161	586	3034
162	589	3026
163	593	3024
164	596	3018
165	599	3011
166	602	3004
167	605	2996
168	607	2987
169	611	2987
170	614	2981
171	617	2974
172	620	2965
173	623	2957
174	626	2954
175	630	2950
176	633	2943
177	634	2932
178	637	2924
179	640	2915
180	643	2909
181	645	2899
182	647	2892
183	650	2885
184	652	2873
185	654	2865
186	657	2858
187	660	2851
188	662	2843
189	665	2835
190	667	2828
191	670	2821
192	673	2814
193	676	2809
194	678	2801
195	681	2794
196	683	2787
197	686	2779
198	688	2771
199	691	2765
200	694	2762
201	697	2754
202	699	2745
203	701	2737
204	704	2732
205	708	2729
206	710	2723
207	713	2718
208	716	2711
209	719	2705
210	721	2697
211	724	2693
212	727	2688
213	730	2681
214	732	2674
215	734	2667
216	737	2660
217	740	2656
218	744	2653
219	746	2647
220	749	2640
221	751	2633
222	753	2626
223	757	2623
224	760	2619
225	763	2615
226	767	2614
227	770	2607
228	773	2602
229	775	2597
230	778	2592
231	781	2587
232	784	2581
233	786	2575
234	790	2571
235	792	2566
236	795	2561
237	798	2555
238	800	2548
239	803	2543
240	806	2539
241	809	2535
242	812	2530
243	814	2525
244	817	2519
245	821	2516
246	825	2515
247	838	2541
248	844	2547
249	847	2543
250	850	2538
251	853	2533
252	856	2529
253	859	2525
254	862	2520
255	865	2516
256	868	2510
257	871	2506
258	874	2501
259	876	2495
260	879	2490
261	882	2485
262	884	2479
263	887	2475
264	891	2471
265	893	2466
266	896	2461
267	899	2457
268	902	2452
269	905	2449
270	909	2445
271	912	2441
272	915	2436
273	917	2430
274	920	2427
275	923	2423
276	926	2418
277	928	2412
278	931	2407
279	933	2401
280	937	2399
281	940	2394
282	943	2390
283	946	2386
284	949	2383
285	954	2384
286	958	2382
